Image name,object name,Y-centre,ImmediatelyTopOf
download (1).jpg.txt,car,83,na
download (10).jpg.txt,cup,57,cat
download (10).jpg.txt,cat,85,na
download (11).jpg.txt,cat,83.5,na
download (12).jpg.txt,diningtable,113.5,na
download (12).jpg.txt,cat,113.5,na
download (13).jpg.txt,cat,79.5,na
download (14).jpg.txt,elephant,99,elephant
download (14).jpg.txt,elephant,102,na
download (15).jpg.txt,elephant,83,elephant
download (15).jpg.txt,elephant,83.5,na
download (15).jpg.txt,elephant,83.5,elephant
download (15).jpg.txt,elephant,84.5,cow
download (15).jpg.txt,cow,86.5,cow
download (15).jpg.txt,cow,96,cow
download (15).jpg.txt,cow,98,elephant
download (15).jpg.txt,elephant,100.5,cow
download (15).jpg.txt,cow,106.5,na
download (16).jpg.txt,elephant,86.5,elephant
download (16).jpg.txt,elephant,125,na
download (17).jpg.txt,car,87.5,elephant
download (17).jpg.txt,elephant,88.5,elephant
download (17).jpg.txt,elephant,123,na
download (18).jpg.txt,dog,69.5,car
download (18).jpg.txt,car,111.5,na
download (19).jpg.txt,elephant,88,car
download (19).jpg.txt,car,125,na
download (2).jpg.txt,car,80.5,car
download (2).jpg.txt,car,92.5,na
download (3).jpg.txt,person,88.5,car
download (3).jpg.txt,car,109.5,na
download (4).jpg.txt,car,90,na
download (5).jpg.txt,car,86.5,na
download (6).jpg.txt,bus,82.5,na
download (7).jpg.txt,traffic light,87.5,bus
download (7).jpg.txt,bus,103.5,na
download (8).jpg.txt,bus,85,na
download (9).jpg.txt,person,96.5,bus
download (9).jpg.txt,bus,111,na
download.jpg.txt,car,109,na
images (1).jpg.txt,car,96,car
images (1).jpg.txt,car,105.5,truck
images (1).jpg.txt,truck,129.5,truck
images (1).jpg.txt,truck,146,elephant
images (1).jpg.txt,elephant,147.5,na
images.jpg.txt,elephant,84,person
images.jpg.txt,person,108.5,person
images.jpg.txt,person,119,person
images.jpg.txt,person,126.5,car
images.jpg.txt,car,133.5,person
images.jpg.txt,person,134.5,na
