Image name,has on the left,has on the right,has in the centre,has on the top,has on the bottom
download (1).jpg.txt,na,car,car,na,car
download (10).jpg.txt,"na, na","cat, na","cat, cup","na, cup","cat, na"
download (11).jpg.txt,na,cat,cat,na,cat
download (12).jpg.txt,"na, na","cat, diningtable","cat, diningtable","na, na","cat, diningtable"
download (13).jpg.txt,na,cat,cat,na,na
download (14).jpg.txt,"na, elephant","elephant, na","elephant, elephant","na, na","elephant, elephant"
download (15).jpg.txt,"na, na, na, cow, na, na, na, na, na","elephant, cow, elephant, na, cow, cow, elephant, elephant, elephant","elephant, cow, elephant, cow, cow, cow, elephant, elephant, elephant","na, na, na, na, na, na, na, na, na","elephant, cow, elephant, cow, cow, cow, elephant, elephant, elephant"
download (16).jpg.txt,"na, na","elephant, elephant","elephant, elephant","na, na","elephant, elephant"
download (17).jpg.txt,"na, na, na","elephant, car, elephant","elephant, car, elephant","na, na, na","elephant, car, elephant"
download (18).jpg.txt,"na, na","car, dog","car, dog","na, na","car, dog"
download (19).jpg.txt,"na, na","elephant, car","elephant, car","na, na","elephant, car"
download (2).jpg.txt,"na, na","car, car","car, car","na, na","car, car"
download (3).jpg.txt,"na, na","person, car","person, car","na, na","person, car"
download (4).jpg.txt,na,car,car,na,car
download (5).jpg.txt,na,car,car,na,car
download (6).jpg.txt,na,bus,bus,na,bus
download (7).jpg.txt,"na, traffic light","bus, na","bus, traffic light","na, na","bus, traffic light"
download (8).jpg.txt,na,bus,bus,na,bus
download (9).jpg.txt,"na, na","bus, person","bus, person","na, na","bus, person"
download.jpg.txt,na,car,car,na,car
images (1).jpg.txt,"na, na, na, na, na","elephant, truck, car, truck, car","elephant, truck, car, truck, car","na, na, na, na, na","elephant, truck, car, truck, car"
images.jpg.txt,"na, na, na, na, na, na","person, car, elephant, person, person, person","person, car, elephant, person, person, person","na, na, na, na, na, na","person, car, elephant, person, person, person"
