Image name,X1,Y1,X2,Y2,object name,X-centre,Y-centre,X-Image Dimentions,Y-Image Dimentions,diagonal object,has on the left,has on the right,has on the top,has on the bottom,has in the centre,
download (1).jpg.txt,26,22,277,144,car,151.5,83,168,299,279.0788419,na,car,na,car,car,
download (10).jpg.txt,47,6,276,164,cat,161.5,85,168,300,278.2175408,na,cat,na,cat,cat,
download (10).jpg.txt,1,0,83,114,cup,42,57,168,300,140.4279175,na,na,cup,na,cup,
download (11).jpg.txt,18,3,265,164,cat,141.5,83.5,168,300,294.8389391,na,cat,na,cat,cat,
download (12).jpg.txt,1,10,181,217,cat,91,113.5,224,225,274.3155118,na,cat,na,cat,cat,
download (12).jpg.txt,8,9,221,218,diningtable,114.5,113.5,224,225,298.4124662,na,diningtable,na,diningtable,diningtable,
download (13).jpg.txt,35,0,257,159,cat,146,79.5,159,318,273.0659261,na,cat,na,na,cat,
download (14).jpg.txt,84,34,209,170,elephant,146.5,102,194,259,184.7187051,na,elephant,na,elephant,elephant,
download (14).jpg.txt,4,36,88,162,elephant,46,99,194,259,151.4331536,elephant,na,na,elephant,elephant,
download (15).jpg.txt,196,55,255,114,elephant,225.5,84.5,168,300,83.43860018,na,elephant,na,elephant,elephant,
download (15).jpg.txt,77,58,155,115,cow,116,86.5,168,300,96.60745313,na,cow,na,cow,cow,
download (15).jpg.txt,254,50,299,116,elephant,276.5,83,168,300,79.88116173,na,elephant,na,elephant,elephant,
download (15).jpg.txt,7,74,71,122,cow,39,98,168,300,80,cow,na,na,cow,cow,
download (15).jpg.txt,171,83,194,118,cow,182.5,100.5,168,300,41.88078318,na,cow,na,cow,cow,
download (15).jpg.txt,241,52,300,115,cow,270.5,83.5,168,300,86.31338251,na,cow,na,cow,cow,
download (15).jpg.txt,69,74,88,118,elephant,78.5,96,168,300,47.92702787,na,elephant,na,elephant,elephant,
download (15).jpg.txt,79,53,162,114,elephant,120.5,83.5,168,300,103.0048543,na,elephant,na,elephant,elephant,
download (15).jpg.txt,159,96,174,117,elephant,166.5,106.5,168,300,25.8069758,na,elephant,na,elephant,elephant,
download (16).jpg.txt,41,8,169,165,elephant,105,86.5,184,274,202.5660386,na,elephant,na,elephant,elephant,
download (16).jpg.txt,139,85,213,165,elephant,176,125,184,274,108.9770618,na,elephant,na,elephant,elephant,
download (17).jpg.txt,21,20,200,155,elephant,110.5,87.5,183,275,224.2008029,na,elephant,na,elephant,elephant,
download (17).jpg.txt,137,91,221,155,car,179,123,183,275,105.6030303,na,car,na,car,car,
download (17).jpg.txt,48,24,197,153,elephant,122.5,88.5,183,275,197.0837385,na,elephant,na,elephant,elephant,
download (18).jpg.txt,83,61,259,162,car,171,111.5,190,266,202.921167,na,car,na,car,car,
download (18).jpg.txt,22,6,171,133,dog,96.5,69.5,190,266,195.7804893,na,dog,na,dog,dog,
download (19).jpg.txt,48,26,249,150,elephant,148.5,88,179,281,236.1715478,na,elephant,na,elephant,elephant,
download (19).jpg.txt,103,104,167,146,car,135,125,179,281,76.55063684,na,car,na,car,car,
download (2).jpg.txt,66,54,248,131,car,157,92.5,168,300,197.618319,na,car,na,car,car,
download (2).jpg.txt,234,73,270,88,car,252,80.5,168,300,39,na,car,na,car,car,
download (3).jpg.txt,245,33,279,144,person,262,88.5,168,300,116.090482,na,person,na,person,person,
download (3).jpg.txt,18,64,249,155,car,133.5,109.5,168,300,248.2780699,na,car,na,car,car,
download (4).jpg.txt,18,34,241,146,car,129.5,90,194,259,249.545587,na,car,na,car,car,
download (5).jpg.txt,0,32,275,141,car,137.5,86.5,183,275,295.8141308,na,car,na,car,car,
download (6).jpg.txt,9,47,231,118,bus,120,82.5,194,259,233.0772404,na,bus,na,bus,bus,
download (7).jpg.txt,26,54,247,153,bus,136.5,103.5,172,293,242.1611034,na,bus,na,bus,bus,
download (7).jpg.txt,4,83,8,92,traffic light,6,87.5,172,293,9.848857802,traffic light,na,na,traffic light,traffic light,
download (8).jpg.txt,11,28,292,142,bus,151.5,85,159,318,303.2441261,na,bus,na,bus,bus,
download (9).jpg.txt,15,39,242,154,bus,128.5,96.5,194,259,254.4680727,na,bus,na,bus,bus,
download (9).jpg.txt,254,96,259,126,person,256.5,111,194,259,30.41381265,na,person,na,person,person,
download.jpg.txt,38,64,241,154,car,139.5,109,171,295,222.0562992,na,car,na,car,car,
images (1).jpg.txt,67,35,246,157,elephant,156.5,96,194,259,216.6217902,na,elephant,na,elephant,elephant,
images (1).jpg.txt,52,36,253,175,truck,152.5,105.5,194,259,244.3808503,na,truck,na,truck,truck,
images (1).jpg.txt,85,102,259,193,car,172,147.5,194,259,196.3593644,na,car,na,car,car,
images (1).jpg.txt,19,65,255,194,truck,137,129.5,194,259,268.9553866,na,truck,na,truck,truck,
images (1).jpg.txt,60,98,259,194,car,159.5,146,194,259,220.9456947,na,car,na,car,car,
images.jpg.txt,156,96,291,173,person,223.5,134.5,173,291,155.4155719,na,person,na,person,person,
images.jpg.txt,0,44,167,173,car,83.5,108.5,173,291,211.0213259,na,car,na,car,car,
images.jpg.txt,86,0,250,168,elephant,168,84,173,291,234.7764895,na,elephant,na,elephant,elephant,
images.jpg.txt,261,114,286,153,person,273.5,133.5,173,291,46.32493929,na,person,na,person,person,
images.jpg.txt,41,108,63,145,person,52,126.5,173,291,43.0464865,na,person,na,person,person,
images.jpg.txt,42,109,62,129,person,52,119,173,291,28.28427125,na,person,na,person,person,
