Image name,object name,X-centre,object id
download (1).jpg.txt,car,151.5,0
download (10).jpg.txt,cup,42,1
download (10).jpg.txt,cat,161.5,2
download (11).jpg.txt,cat,141.5,3
download (12).jpg.txt,cat,91,4
download (12).jpg.txt,diningtable,114.5,5
download (13).jpg.txt,cat,146,6
download (14).jpg.txt,elephant,46,7
download (14).jpg.txt,elephant,146.5,8
download (15).jpg.txt,cow,39,9
download (15).jpg.txt,elephant,78.5,10
download (15).jpg.txt,cow,116,11
download (15).jpg.txt,elephant,120.5,12
download (15).jpg.txt,elephant,166.5,13
download (15).jpg.txt,cow,182.5,14
download (15).jpg.txt,elephant,225.5,15
download (15).jpg.txt,cow,270.5,16
download (15).jpg.txt,elephant,276.5,17
download (16).jpg.txt,elephant,105,18
download (16).jpg.txt,elephant,176,19
download (17).jpg.txt,elephant,110.5,20
download (17).jpg.txt,elephant,122.5,21
download (17).jpg.txt,car,179,22
download (18).jpg.txt,dog,96.5,23
download (18).jpg.txt,car,171,24
download (19).jpg.txt,car,135,25
download (19).jpg.txt,elephant,148.5,26
download (2).jpg.txt,car,157,27
download (2).jpg.txt,car,252,28
download (3).jpg.txt,car,133.5,29
download (3).jpg.txt,person,262,30
download (4).jpg.txt,car,129.5,31
download (5).jpg.txt,car,137.5,32
download (6).jpg.txt,bus,120,33
download (7).jpg.txt,traffic light,6,34
download (7).jpg.txt,bus,136.5,35
download (8).jpg.txt,bus,151.5,36
download (9).jpg.txt,bus,128.5,37
download (9).jpg.txt,person,256.5,38
download.jpg.txt,car,139.5,39
images (1).jpg.txt,truck,137,40
images (1).jpg.txt,truck,152.5,41
images (1).jpg.txt,elephant,156.5,42
images (1).jpg.txt,car,159.5,43
images (1).jpg.txt,car,172,44
images.jpg.txt,person,52,45
images.jpg.txt,person,52,46
images.jpg.txt,car,83.5,47
images.jpg.txt,elephant,168,48
images.jpg.txt,person,223.5,49
images.jpg.txt,person,273.5,50
